زمان,باران 6 (mm),تابش خورشیدی 7 (W/m2),جهت باد 5 (degree),دما 1 (°C),رطوبت 2 (%),سرعت باد 4 (km/h),فشار هوا 3 (kPa)
13:20                                                     1405/05/01,376.8mm,160W/m2,78.9degree,18.6°C,54.5%,11.4km/h,91.6kPa
13:20                                                     1405/05/02,376.8mm,723W/m2,103.5degree,23.4°C,41.8%,12.8km/h,91.9kPa
13:20                                                     1405/05/03,376.8mm,722W/m2,139.0degree,27.0°C,31.5%,6.6km/h,91.9kPa
13:20                                                     1405/05/04,376.8mm,729W/m2,105.9degree,28.7°C,23.0%,7.5km/h,91.8kPa
13:20                                                     1405/05/05,376.8mm,708W/m2,214.4degree,34.0°C,16.3%,12.0km/h,91.6kPa
13:20                                                     1405/05/06,376.8mm,717W/m2,153.6degree,36.5°C,12.4%,9.1km/h,91.5kPa
13:20                                                     1405/05/07,376.8mm,694W/m2,71.1degree,32.3°C,27.6%,15.4km/h,91.5kPa
13:20                                                     1405/05/08,376.8mm,696W/m2,74.9degree,29.9°C,30.0%,14.1km/h,91.7kPa
13:20                                                     1405/05/09,376.8mm,473W/m2,85.2degree,26.8°C,29.6%,22.4km/h,91.7kPa
13:20                                                     1405/05/10,378.4mm,738W/m2,115.7degree,25.4°C,40.7%,13.0km/h,91.6kPa
13:20                                                     1405/05/11,378.4mm,738W/m2,135.9degree,27.3°C,32.7%,8.4km/h,91.5kPa
13:30                                                     1405/03/21,290.2mm,422W/m2,248.8degree,23.7°C,28.5%,19.3km/h,91.4kPa
13:30                                                     1405/03/22,290.6mm,43W/m2,180.6degree,19.3°C,40.6%,6.2km/h,91.6kPa
13:30                                                     1405/03/23,290.6mm,596W/m2,177.1degree,26.4°C,24.4%,17.5km/h,92.1kPa
13:30                                                     1405/03/25,294.2mm,277W/m2,148.0degree,17.5°C,80.9%,8.7km/h,90.9kPa
13:30                                                     1405/03/26,295.0mm,538W/m2,194.9degree,24.8°C,41.4%,24.3km/h,91.4kPa
13:30                                                     1405/03/27,295.0mm,494W/m2,200.8degree,23.5°C,53.3%,31.5km/h,91.0kPa
13:30                                                     1405/03/29,304.2mm,286W/m2,158.3degree,23.1°C,27.0%,4.8km/h,90.8kPa
13:30                                                     1405/03/30,325.8mm,355W/m2,224.8degree,24.6°C,20.4%,11.7km/h,90.9kPa
13:30                                                     1405/03/31,325.8mm,638W/m2,192.2degree,26.6°C,22.9%,21.7km/h,90.9kPa
13:30                                                     1405/04/01,348.6mm,270W/m2,348.0degree,12.0°C,88.3%,5.3km/h,91.4kPa
13:30                                                     1405/04/02,350.6mm,523W/m2,107.9degree,14.4°C,64.3%,8.5km/h,91.9kPa
13:30                                                     1405/04/03,350.6mm,652W/m2,185.6degree,20.3°C,43.6%,8.3km/h,91.4kPa
13:30                                                     1405/04/04,350.6mm,552W/m2,199.5degree,24.2°C,33.1%,16.5km/h,91.0kPa
13:30                                                     1405/04/08,406.4mm,320W/m2,216.3degree,16.5°C,48.5%,9.3km/h,91.2kPa
13:30                                                     1405/04/09,406.4mm,315W/m2,55.0degree,20.4°C,50.3%,7.6km/h,91.5kPa
13:30                                                     1405/04/10,406.4mm,230W/m2,67.4degree,22.2°C,33.4%,9.1km/h,92.0kPa
13:30                                                     1405/04/11,406.8mm,671W/m2,170.8degree,24.3°C,35.2%,7.8km/h,92.4kPa
13:30                                                     1405/04/12,355.2mm,671W/m2,144.3degree,25.5°C,27.0%,9.1km/h,91.8kPa
13:30                                                     1405/04/13,355.2mm,655W/m2,155.2degree,28.2°C,21.2%,13.0km/h,91.4kPa
13:30                                                     1405/04/14,355.2mm,671W/m2,241.3degree,30.2°C,20.5%,10.0km/h,91.3kPa
13:30                                                     1405/04/16,355.2mm,755W/m2,101.2degree,13.5°C,58.7%,15.4km/h,91.9kPa
13:30                                                     1405/04/17,355.2mm,632W/m2,58.4degree,16.5°C,37.8%,18.6km/h,92.1kPa
13:30                                                     1405/04/18,355.2mm,674W/m2,162.7degree,21.0°C,31.5%,7.8km/h,91.8kPa
13:30                                                     1405/04/20,355.2mm,226W/m2,58.1degree,26.5°C,29.9%,5.5km/h,91.1kPa
13:30                                                     1405/04/21,355.2mm,322W/m2,117.0degree,25.9°C,31.6%,7.1km/h,90.9kPa
13:30                                                     1405/04/22,358.2mm,506W/m2,76.4degree,25.4°C,45.3%,5.8km/h,91.1kPa
13:30                                                     1405/04/24,367.4mm,126W/m2,162.5degree,29.1°C,30.2%,6.6km/h,91.3kPa
13:30                                                     1405/04/26,376.8mm,692W/m2,59.7degree,21.3°C,46.0%,17.9km/h,92.1kPa
13:30                                                     1405/04/27,376.8mm,807W/m2,78.8degree,25.8°C,35.2%,6.6km/h,91.3kPa
13:30                                                     1405/04/29,376.8mm,693W/m2,146.6degree,26.9°C,30.8%,14.6km/h,91.3kPa
13:30                                                     1405/04/30,376.8mm,268W/m2,73.4degree,23.1°C,41.3%,33.7km/h,91.2kPa
13:30                                                     1405/05/01,376.8mm,147W/m2,89.7degree,18.6°C,55.5%,12.5km/h,91.7kPa
13:30                                                     1405/05/03,376.8mm,715W/m2,59.5degree,26.8°C,29.9%,9.4km/h,91.9kPa
13:30                                                     1405/05/04,376.8mm,713W/m2,90.6degree,28.9°C,23.2%,11.1km/h,91.8kPa
13:30                                                     1405/05/05,376.8mm,688W/m2,159.3degree,34.1°C,16.6%,8.2km/h,91.6kPa
13:30                                                     1405/05/07,376.8mm,678W/m2,85.3degree,32.6°C,27.6%,13.9km/h,91.5kPa
13:30                                                     1405/05/08,376.8mm,682W/m2,56.9degree,30.1°C,28.1%,13.9km/h,91.7kPa
13:30                                                     1405/05/09,376.8mm,332W/m2,62.9degree,26.6°C,29.5%,27.4km/h,91.6kPa
13:30                                                     1405/05/10,378.4mm,706W/m2,101.4degree,25.2°C,41.9%,12.5km/h,91.7kPa
13:30                                                     1405/05/11,378.4mm,713W/m2,63.3degree,27.1°C,32.5%,8.0km/h,91.5kPa
13:40                                                     1405/03/21,290.2mm,255W/m2,279.1degree,22.8°C,30.2%,8.5km/h,91.3kPa
13:40                                                     1405/03/22,290.6mm,65W/m2,169.0degree,19.6°C,39.9%,5.5km/h,91.7kPa
13:40                                                     1405/03/23,290.6mm,577W/m2,142.9degree,26.6°C,26.3%,8.5km/h,92.1kPa
13:40                                                     1405/03/24,290.6mm,558W/m2,116.6degree,28.0°C,22.5%,9.2km/h,91.6kPa
13:40                                                     1405/03/25,294.2mm,263W/m2,137.5degree,17.8°C,79.7%,4.8km/h,90.9kPa
13:40                                                     1405/03/26,295.0mm,370W/m2,216.6degree,24.8°C,40.3%,24.3km/h,91.3kPa
13:40                                                     1405/03/27,295.0mm,678W/m2,204.8degree,23.6°C,50.7%,35.4km/h,91.0kPa
13:40                                                     1405/03/28,304.2mm,350W/m2,165.4degree,21.7°C,53.0%,8.6km/h,90.8kPa
13:40                                                     1405/03/29,304.2mm,207W/m2,112.6degree,23.2°C,23.8%,4.2km/h,90.7kPa
13:40                                                     1405/03/30,325.8mm,328W/m2,226.7degree,24.3°C,20.5%,15.9km/h,90.9kPa
13:40                                                     1405/03/31,325.8mm,620W/m2,219.9degree,26.2°C,20.4%,12.6km/h,90.9kPa
13:40                                                     1405/04/01,348.8mm,302W/m2,336.8degree,12.3°C,87.1%,6.4km/h,91.4kPa
13:40                                                     1405/04/02,350.6mm,318W/m2,149.5degree,14.5°C,63.9%,7.0km/h,91.9kPa
13:40                                                     1405/04/03,350.6mm,627W/m2,197.8degree,20.7°C,42.5%,3.2km/h,91.4kPa
13:40                                                     1405/04/08,406.4mm,258W/m2,209.8degree,17.9°C,42.5%,8.0km/h,91.1kPa
13:40                                                     1405/04/09,406.4mm,705W/m2,98.2degree,21.6°C,47.0%,13.5km/h,91.5kPa
13:40                                                     1405/04/10,406.4mm,156W/m2,44.4degree,20.9°C,38.6%,13.0km/h,92.0kPa
13:40                                                     1405/04/11,406.8mm,654W/m2,131.9degree,24.2°C,30.9%,6.6km/h,92.4kPa
13:40                                                     1405/04/12,355.2mm,656W/m2,152.4degree,25.3°C,24.8%,7.6km/h,91.8kPa
13:40                                                     1405/04/13,355.2mm,637W/m2,144.9degree,28.2°C,20.6%,10.5km/h,91.4kPa
13:40                                                     1405/04/14,355.2mm,646W/m2,231.4degree,30.1°C,19.0%,22.0km/h,91.3kPa
13:40                                                     1405/04/15,355.2mm,616W/m2,101.9degree,19.7°C,38.5%,10.3km/h,91.7kPa
13:40                                                     1405/04/16,355.2mm,632W/m2,96.8degree,14.0°C,56.0%,18.9km/h,91.9kPa
13:40                                                     1405/04/17,355.2mm,611W/m2,71.8degree,16.4°C,38.0%,11.2km/h,92.1kPa
13:40                                                     1405/04/18,355.2mm,655W/m2,183.4degree,21.2°C,29.5%,1.7km/h,91.8kPa
13:40                                                     1405/04/19,355.2mm,546W/m2,174.1degree,28.5°C,19.4%,19.8km/h,91.4kPa
13:40                                                     1405/04/20,355.2mm,449W/m2,136.4degree,27.7°C,27.8%,5.6km/h,91.1kPa
13:40                                                     1405/04/21,355.2mm,336W/m2,138.0degree,26.0°C,31.4%,8.5km/h,90.9kPa
13:40                                                     1405/04/22,358.2mm,346W/m2,57.5degree,25.2°C,46.4%,12.6km/h,91.1kPa
13:40                                                     1405/04/23,367.4mm,664W/m2,158.1degree,24.6°C,45.7%,6.2km/h,91.5kPa
13:40                                                     1405/04/24,367.4mm,109W/m2,147.6degree,28.6°C,30.4%,7.5km/h,91.3kPa
13:40                                                     1405/04/25,376.8mm,394W/m2,144.8degree,31.5°C,25.1%,8.6km/h,91.6kPa
13:40                                                     1405/04/26,376.8mm,731W/m2,62.9degree,21.6°C,46.3%,14.0km/h,92.1kPa
13:40                                                     1405/04/27,376.8mm,379W/m2,145.7degree,25.5°C,36.3%,8.0km/h,91.3kPa
13:40                                                     1405/04/28,376.8mm,666W/m2,88.7degree,28.8°C,26.8%,14.4km/h,91.3kPa
13:40                                                     1405/04/29,376.8mm,669W/m2,106.8degree,27.2°C,31.8%,9.9km/h,91.4kPa
13:40                                                     1405/04/30,376.8mm,718W/m2,71.5degree,24.3°C,40.6%,21.3km/h,91.3kPa
13:40                                                     1405/05/01,376.8mm,143W/m2,89.9degree,18.7°C,54.9%,12.2km/h,91.7kPa
13:40                                                     1405/05/02,376.8mm,693W/m2,28.5degree,23.3°C,40.4%,4.2km/h,91.8kPa
13:40                                                     1405/05/04,376.8mm,691W/m2,350.4degree,28.9°C,22.1%,6.1km/h,91.7kPa
13:40                                                     1405/05/05,376.8mm,680W/m2,124.3degree,34.3°C,16.9%,9.3km/h,91.6kPa
13:40                                                     1405/05/06,376.8mm,686W/m2,157.1degree,36.8°C,12.5%,7.7km/h,91.4kPa
13:40                                                     1405/05/07,376.8mm,661W/m2,78.3degree,32.4°C,27.6%,14.2km/h,91.5kPa
13:40                                                     1405/05/08,376.8mm,661W/m2,88.6degree,30.1°C,28.4%,8.1km/h,91.7kPa
13:40                                                     1405/05/10,378.4mm,687W/m2,78.2degree,25.3°C,41.7%,23.3km/h,91.6kPa
13:40                                                     1405/05/11,378.4mm,698W/m2,63.5degree,27.8°C,30.2%,11.2km/h,91.5kPa
13:50                                                     1405/03/21,290.2mm,711W/m2,257.7degree,23.9°C,28.6%,4.4km/h,91.4kPa
13:50                                                     1405/03/22,290.6mm,110W/m2,152.8degree,19.6°C,42.2%,3.7km/h,91.7kPa
13:50                                                     1405/03/23,290.6mm,518W/m2,156.6degree,26.4°C,27.1%,15.4km/h,92.1kPa
13:50                                                     1405/03/25,294.2mm,242W/m2,133.7degree,17.8°C,80.8%,11.2km/h,90.9kPa
13:50                                                     1405/03/26,295.0mm,327W/m2,208.1degree,24.3°C,41.2%,26.7km/h,91.3kPa
13:50                                                     1405/03/27,295.0mm,344W/m2,204.7degree,22.8°C,52.0%,33.3km/h,90.9kPa
13:50                                                     1405/03/29,304.2mm,166W/m2,101.8degree,22.7°C,24.0%,6.3km/h,90.7kPa
13:50                                                     1405/03/30,325.8mm,489W/m2,257.6degree,24.7°C,20.3%,13.8km/h,90.9kPa
13:50                                                     1405/03/31,325.8mm,600W/m2,137.5degree,26.8°C,20.5%,12.4km/h,90.9kPa
13:50                                                     1405/04/01,349.2mm,352W/m2,343.1degree,12.5°C,85.8%,9.0km/h,91.4kPa
13:50                                                     1405/04/03,350.6mm,613W/m2,226.5degree,20.4°C,37.2%,9.1km/h,91.3kPa
13:50                                                     1405/04/04,350.6mm,647W/m2,179.8degree,24.2°C,33.7%,13.1km/h,91.0kPa
13:50                                                     1405/04/08,406.4mm,281W/m2,181.1degree,18.0°C,48.4%,9.3km/h,91.2kPa
13:50                                                     1405/04/09,406.4mm,723W/m2,134.8degree,22.4°C,46.7%,9.6km/h,91.5kPa
13:50                                                     1405/04/10,406.4mm,42W/m2,41.3degree,19.6°C,42.0%,15.0km/h,91.9kPa
13:50                                                     1405/04/11,406.8mm,632W/m2,175.1degree,24.4°C,29.6%,9.9km/h,92.4kPa
13:50                                                     1405/04/12,355.2mm,634W/m2,164.4degree,25.7°C,24.9%,9.7km/h,91.8kPa
13:50                                                     1405/04/13,355.2mm,613W/m2,140.7degree,28.3°C,21.6%,10.5km/h,91.4kPa
13:50                                                     1405/04/14,355.2mm,634W/m2,262.3degree,30.2°C,18.4%,28.1km/h,91.3kPa
13:50                                                     1405/04/16,355.2mm,600W/m2,69.4degree,13.7°C,57.3%,13.1km/h,91.9kPa
13:50                                                     1405/04/17,355.2mm,615W/m2,108.5degree,16.8°C,37.7%,19.6km/h,92.1kPa
13:50                                                     1405/04/18,355.2mm,632W/m2,118.0degree,21.1°C,31.6%,9.5km/h,91.8kPa
13:50                                                     1405/04/20,355.2mm,543W/m2,118.5degree,28.5°C,27.7%,3.4km/h,91.2kPa
13:50                                                     1405/04/21,355.2mm,277W/m2,92.2degree,26.1°C,31.9%,8.8km/h,90.9kPa
13:50                                                     1405/04/22,358.2mm,808W/m2,116.2degree,25.4°C,47.2%,10.8km/h,91.1kPa
13:50                                                     1405/04/24,367.4mm,82W/m2,160.2degree,28.5°C,30.5%,1.4km/h,91.3kPa
13:50                                                     1405/04/25,376.8mm,462W/m2,163.6degree,31.7°C,25.7%,9.7km/h,91.6kPa
13:50                                                     1405/04/26,376.8mm,316W/m2,58.3degree,21.3°C,47.7%,12.9km/h,92.1kPa
13:50                                                     1405/04/27,376.8mm,658W/m2,117.5degree,25.2°C,36.3%,8.8km/h,91.3kPa
13:50                                                     1405/04/29,376.8mm,650W/m2,93.6degree,27.1°C,30.4%,13.5km/h,91.3kPa
13:50                                                     1405/04/30,376.8mm,851W/m2,55.1degree,24.1°C,39.6%,25.2km/h,91.2kPa
13:50                                                     1405/05/01,376.8mm,125W/m2,111.5degree,18.5°C,55.5%,11.6km/h,91.7kPa
13:50                                                     1405/05/03,376.8mm,675W/m2,86.8degree,27.3°C,28.7%,15.4km/h,91.9kPa
13:50                                                     1405/05/04,376.8mm,669W/m2,26.5degree,28.7°C,23.3%,3.6km/h,91.7kPa
13:50                                                     1405/05/05,376.8mm,658W/m2,146.3degree,34.3°C,16.9%,6.9km/h,91.6kPa
13:50                                                     1405/05/08,376.8mm,633W/m2,98.9degree,30.4°C,27.8%,11.1km/h,91.7kPa
13:50                                                     1405/05/09,376.8mm,355W/m2,82.3degree,26.3°C,30.3%,21.7km/h,91.6kPa
13:50                                                     1405/05/10,378.4mm,662W/m2,83.6degree,24.9°C,43.6%,21.8km/h,91.7kPa
13:50                                                     1405/05/11,378.4mm,679W/m2,63.9degree,27.7°C,30.7%,10.5km/h,91.5kPa
14:00                                                     1405/03/21,290.2mm,594W/m2,224.1degree,24.4°C,28.5%,12.0km/h,91.4kPa
14:00                                                     1405/03/22,290.6mm,158W/m2,99.7degree,19.8°C,42.8%,1.3km/h,91.7kPa
14:00                                                     1405/03/23,290.6mm,534W/m2,137.0degree,26.4°C,27.8%,11.0km/h,92.1kPa
14:00                                                     1405/03/24,290.6mm,466W/m2,129.7degree,28.3°C,22.8%,6.4km/h,91.6kPa
14:00                                                     1405/03/25,294.2mm,201W/m2,157.8degree,18.1°C,79.9%,9.8km/h,90.9kPa
14:00                                                     1405/03/26,295.0mm,337W/m2,191.7degree,24.2°C,41.3%,19.2km/h,91.3kPa
14:00                                                     1405/03/27,295.0mm,365W/m2,203.3degree,23.3°C,50.3%,38.7km/h,90.9kPa
14:00                                                     1405/03/28,304.2mm,387W/m2,127.1degree,21.1°C,55.0%,7.4km/h,90.8kPa
14:00                                                     1405/03/29,304.2mm,140W/m2,136.3degree,22.6°C,23.9%,3.5km/h,90.7kPa
14:00                                                     1405/03/30,325.8mm,489W/m2,221.7degree,25.1°C,20.5%,12.0km/h,90.9kPa
14:00                                                     1405/03/31,325.8mm,582W/m2,137.4degree,26.8°C,19.5%,6.1km/h,90.8kPa
14:00                                                     1405/04/01,349.2mm,331W/m2,350.1degree,12.7°C,84.7%,7.6km/h,91.4kPa
14:00                                                     1405/04/02,350.6mm,455W/m2,172.0degree,14.9°C,64.3%,8.0km/h,91.9kPa
14:00                                                     1405/04/03,350.6mm,590W/m2,231.5degree,20.4°C,38.6%,4.6km/h,91.3kPa
14:00                                                     1405/04/04,350.6mm,621W/m2,205.2degree,24.6°C,30.6%,21.4km/h,91.0kPa
14:00                                                     1405/04/08,406.4mm,156W/m2,173.3degree,18.1°C,45.3%,8.1km/h,91.2kPa
14:00                                                     1405/04/09,406.4mm,633W/m2,147.1degree,22.8°C,42.0%,11.2km/h,91.5kPa
14:00                                                     1405/04/10,406.4mm,22W/m2,344.1degree,18.6°C,42.5%,2.3km/h,92.0kPa
14:00                                                     1405/04/11,406.8mm,615W/m2,192.8degree,24.2°C,28.1%,10.5km/h,92.3kPa
14:00                                                     1405/04/12,355.2mm,612W/m2,164.8degree,25.7°C,27.5%,7.8km/h,91.8kPa
14:00                                                     1405/04/13,355.2mm,591W/m2,161.7degree,28.4°C,19.1%,10.1km/h,91.4kPa
14:00                                                     1405/04/14,355.2mm,593W/m2,251.5degree,30.2°C,20.4%,17.7km/h,91.4kPa
14:00                                                     1405/04/15,355.2mm,600W/m2,137.4degree,19.8°C,38.5%,10.6km/h,91.6kPa
14:00                                                     1405/04/16,355.2mm,511W/m2,103.6degree,13.6°C,58.0%,16.3km/h,91.9kPa
14:00                                                     1405/04/17,355.2mm,593W/m2,95.9degree,16.9°C,37.2%,26.4km/h,92.1kPa
14:00                                                     1405/04/18,355.2mm,611W/m2,169.1degree,21.1°C,29.7%,1.7km/h,91.8kPa
14:00                                                     1405/04/19,355.2mm,505W/m2,195.9degree,27.9°C,18.4%,20.5km/h,91.3kPa
14:00                                                     1405/04/20,355.2mm,271W/m2,130.7degree,29.0°C,25.6%,4.1km/h,91.1kPa
14:00                                                     1405/04/21,355.2mm,294W/m2,131.8degree,25.9°C,32.2%,6.5km/h,90.9kPa
14:00                                                     1405/04/22,358.4mm,636W/m2,100.0degree,25.4°C,47.1%,12.9km/h,91.1kPa
14:00                                                     1405/04/23,367.4mm,620W/m2,180.9degree,24.9°C,46.4%,7.3km/h,91.5kPa
14:00                                                     1405/04/24,367.4mm,66W/m2,93.3degree,28.0°C,32.2%,8.3km/h,91.3kPa
14:00                                                     1405/04/26,376.8mm,331W/m2,57.8degree,20.9°C,47.8%,9.1km/h,92.1kPa
14:00                                                     1405/04/27,376.8mm,633W/m2,74.9degree,24.9°C,36.1%,15.6km/h,91.2kPa
14:00                                                     1405/04/28,376.8mm,467W/m2,70.2degree,28.6°C,26.5%,14.8km/h,91.3kPa
14:00                                                     1405/04/29,376.8mm,626W/m2,91.1degree,27.3°C,31.3%,8.3km/h,91.3kPa
14:00                                                     1405/04/30,376.8mm,349W/m2,75.1degree,24.6°C,39.4%,18.1km/h,91.3kPa
14:00                                                     1405/05/01,376.8mm,128W/m2,88.1degree,18.2°C,55.8%,10.8km/h,91.7kPa
14:00                                                     1405/05/02,376.8mm,638W/m2,124.6degree,23.7°C,40.2%,7.8km/h,91.8kPa
14:00                                                     1405/05/03,376.8mm,650W/m2,69.5degree,27.2°C,28.8%,9.4km/h,91.9kPa
14:00                                                     1405/05/04,376.8mm,649W/m2,100.3degree,29.1°C,22.6%,13.2km/h,91.7kPa
14:00                                                     1405/05/05,376.8mm,583W/m2,171.0degree,34.3°C,16.1%,7.3km/h,91.6kPa
14:00                                                     1405/05/06,376.8mm,642W/m2,156.6degree,37.4°C,12.4%,10.7km/h,91.4kPa
14:00                                                     1405/05/08,376.8mm,599W/m2,102.9degree,30.6°C,27.5%,14.3km/h,91.7kPa
14:00                                                     1405/05/09,376.8mm,390W/m2,64.3degree,26.2°C,29.9%,30.9km/h,91.6kPa
14:00                                                     1405/05/10,378.4mm,634W/m2,95.9degree,25.0°C,44.0%,7.5km/h,91.7kPa
14:00                                                     1405/05/11,378.4mm,644W/m2,71.9degree,27.7°C,29.7%,10.3km/h,91.4kPa
14:10                                                     1405/03/21,290.2mm,531W/m2,200.7degree,24.5°C,28.2%,15.3km/h,91.4kPa
14:10                                                     1405/03/22,290.6mm,195W/m2,109.4degree,21.1°C,37.0%,5.0km/h,91.7kPa
14:10                                                     1405/03/23,290.6mm,433W/m2,166.4degree,26.7°C,27.3%,6.4km/h,92.1kPa
14:10                                                     1405/03/25,294.2mm,264W/m2,145.0degree,18.0°C,80.0%,15.1km/h,90.9kPa
14:10                                                     1405/03/26,295.0mm,236W/m2,217.0degree,24.3°C,40.6%,18.3km/h,91.3kPa
14:10                                                     1405/03/27,295.0mm,265W/m2,208.6degree,23.2°C,50.2%,45.0km/h,90.9kPa
14:10                                                     1405/03/29,304.2mm,118W/m2,320.0degree,21.7°C,26.6%,11.6km/h,90.7kPa
14:10                                                     1405/03/30,325.8mm,570W/m2,234.1degree,25.1°C,20.1%,11.7km/h,90.9kPa
14:10                                                     1405/03/31,325.8mm,563W/m2,148.8degree,26.8°C,17.2%,11.6km/h,90.8kPa
14:10                                                     1405/04/01,349.4mm,198W/m2,330.3degree,12.6°C,83.8%,5.1km/h,91.4kPa
14:10                                                     1405/04/02,350.6mm,238W/m2,99.2degree,14.3°C,64.3%,12.2km/h,91.8kPa
14:10                                                     1405/04/03,350.6mm,571W/m2,202.3degree,20.8°C,35.5%,4.8km/h,91.3kPa
14:10                                                     1405/04/04,350.6mm,585W/m2,176.2degree,24.9°C,29.7%,19.4km/h,91.0kPa
14:10                                                     1405/04/08,406.4mm,286W/m2,191.8degree,18.2°C,44.1%,5.5km/h,91.2kPa
14:10                                                     1405/04/09,406.4mm,232W/m2,132.5degree,21.8°C,39.7%,11.5km/h,91.4kPa
14:10                                                     1405/04/10,406.6mm,15W/m2,256.2degree,18.0°C,48.0%,15.0km/h,92.0kPa
14:10                                                     1405/04/11,406.8mm,588W/m2,144.9degree,24.4°C,30.7%,7.4km/h,92.4kPa
14:10                                                     1405/04/12,355.2mm,592W/m2,136.2degree,25.4°C,24.4%,7.9km/h,91.8kPa
14:10                                                     1405/04/13,355.2mm,575W/m2,137.1degree,28.8°C,21.1%,7.5km/h,91.4kPa
14:10                                                     1405/04/14,355.2mm,572W/m2,295.0degree,29.8°C,20.7%,10.7km/h,91.4kPa
14:10                                                     1405/04/16,355.2mm,527W/m2,104.5degree,13.6°C,58.4%,13.0km/h,91.9kPa
14:10                                                     1405/04/17,355.2mm,541W/m2,72.4degree,16.9°C,37.3%,16.9km/h,92.1kPa
14:10                                                     1405/04/18,355.2mm,587W/m2,154.0degree,21.4°C,29.8%,8.6km/h,91.8kPa
14:10                                                     1405/04/20,355.2mm,342W/m2,74.0degree,29.4°C,27.1%,4.8km/h,91.2kPa
14:10                                                     1405/04/21,355.2mm,279W/m2,107.2degree,26.1°C,33.0%,4.1km/h,90.9kPa
14:10                                                     1405/04/22,358.4mm,616W/m2,70.8degree,25.6°C,47.0%,14.6km/h,91.1kPa
14:10                                                     1405/04/24,367.4mm,53W/m2,62.4degree,27.6°C,34.1%,11.2km/h,91.3kPa
14:10                                                     1405/04/26,376.8mm,316W/m2,78.0degree,20.7°C,48.1%,7.8km/h,92.0kPa
14:10                                                     1405/04/27,376.8mm,432W/m2,135.6degree,24.7°C,37.9%,6.9km/h,91.3kPa
14:10                                                     1405/04/29,376.8mm,602W/m2,75.4degree,27.4°C,29.7%,16.7km/h,91.3kPa
14:10                                                     1405/04/30,376.8mm,266W/m2,53.0degree,23.3°C,40.9%,19.9km/h,91.2kPa
14:10                                                     1405/05/01,376.8mm,144W/m2,102.6degree,18.1°C,56.3%,12.3km/h,91.7kPa
14:10                                                     1405/05/03,376.8mm,629W/m2,76.3degree,27.3°C,27.9%,22.3km/h,91.9kPa
14:10                                                     1405/05/04,376.8mm,625W/m2,94.8degree,29.0°C,22.0%,1.5km/h,91.7kPa
14:10                                                     1405/05/05,376.8mm,612W/m2,173.1degree,34.4°C,15.6%,8.8km/h,91.6kPa
14:10                                                     1405/05/07,376.8mm,592W/m2,58.1degree,32.4°C,28.3%,19.9km/h,91.5kPa
14:10                                                     1405/05/08,376.8mm,506W/m2,96.5degree,30.6°C,28.2%,7.2km/h,91.7kPa
14:10                                                     1405/05/09,376.8mm,337W/m2,49.7degree,26.3°C,30.0%,22.8km/h,91.6kPa
14:10                                                     1405/05/10,378.4mm,620W/m2,51.0degree,25.0°C,43.2%,23.5km/h,91.6kPa
14:10                                                     1405/05/11,378.4mm,625W/m2,70.3degree,27.9°C,31.9%,11.6km/h,91.5kPa
14:20                                                     1405/03/21,290.2mm,506W/m2,197.1degree,24.2°C,28.2%,6.4km/h,91.4kPa
14:20                                                     1405/03/22,290.6mm,178W/m2,83.0degree,21.2°C,37.8%,6.6km/h,91.8kPa
14:20                                                     1405/03/23,290.6mm,354W/m2,186.7degree,26.6°C,27.7%,9.6km/h,92.0kPa
14:20                                                     1405/03/24,290.6mm,478W/m2,178.6degree,28.2°C,21.9%,10.4km/h,91.5kPa
14:20                                                     1405/03/25,294.2mm,227W/m2,165.7degree,18.0°C,79.0%,13.2km/h,90.8kPa
14:20                                                     1405/03/26,295.0mm,215W/m2,189.9degree,24.1°C,40.6%,14.4km/h,91.3kPa
14:20                                                     1405/03/27,295.0mm,671W/m2,207.2degree,23.8°C,49.7%,46.6km/h,90.9kPa
14:20                                                     1405/03/28,304.2mm,318W/m2,151.6degree,21.4°C,53.6%,8.3km/h,90.8kPa
14:20                                                     1405/03/29,304.2mm,113W/m2,301.3degree,20.5°C,32.4%,7.9km/h,90.8kPa
14:20                                                     1405/03/30,325.8mm,469W/m2,230.4degree,25.1°C,20.0%,13.2km/h,90.9kPa
14:20                                                     1405/03/31,325.8mm,533W/m2,192.4degree,27.0°C,17.1%,22.8km/h,90.8kPa
14:20                                                     1405/04/01,349.4mm,161W/m2,354.7degree,12.5°C,82.7%,4.4km/h,91.4kPa
14:20                                                     1405/04/02,350.6mm,276W/m2,121.1degree,14.2°C,65.0%,4.7km/h,91.8kPa
14:20                                                     1405/04/03,350.6mm,537W/m2,200.1degree,21.4°C,37.3%,6.2km/h,91.3kPa
14:20                                                     1405/04/08,406.4mm,182W/m2,191.0degree,18.3°C,44.2%,5.8km/h,91.2kPa
14:20                                                     1405/04/09,406.4mm,191W/m2,138.3degree,21.6°C,42.2%,11.6km/h,91.4kPa
14:20                                                     1405/04/10,406.6mm,18W/m2,264.8degree,16.6°C,58.2%,12.1km/h,92.0kPa
14:20                                                     1405/04/11,406.8mm,563W/m2,146.8degree,24.6°C,26.5%,4.4km/h,92.4kPa
14:20                                                     1405/04/12,355.2mm,566W/m2,131.3degree,25.7°C,25.2%,3.9km/h,91.8kPa
14:20                                                     1405/04/13,355.2mm,550W/m2,155.2degree,28.7°C,20.5%,5.7km/h,91.4kPa
14:20                                                     1405/04/14,355.2mm,539W/m2,317.6degree,29.7°C,20.7%,10.5km/h,91.4kPa
